name,2014,2017,2021
Irwindale,91,18,37
Pico-Union,74,87,86
Glendora,95,17,69
Industry,96,38,83
Sylmar,8,18,10
Torrance,36,45,54
Alhambra,77,31,43
Pico Rivera,88,45,73
Rolling Hills Estates,25,43,23
Signal Hill,25,18,28
Hawthorne,56,45,69
North Hills,15,16,48
Hacienda Heights,94,45,67
Harbor Gateway,42,44,68
Lopez/Kagel Canyons,11,18,9
Citrus,95,18,46
Lake Balboa,18,8,99
Granada Hills,9,11,16
Palms,56,45,35
Santa Monica,42,44,33
Pacoima,13,19,14
Toluca Lake,34,45,25
Veterans Administration,41,45,28
Valley Village,30,45,21
Brentwood,38,37,24
Pomona,100,81,97
South Whittier,68,44,51
Pasadena,44,12,14
Winnetka,12,8,70
Palmdale,3,1,4
Porter Ranch,8,8,12
South El Monte,92,45,66
Tujunga Canyons,7,8,7
Commerce,87,59,87
San Fernando,9,18,11
Sherman Oaks,29,25,32
Bradbury,67,16,23
Panorama City,17,18,33
Northridge,12,8,71
Culver City,60,45,32
Lakewood,33,21,36
Compton,50,45,83
Vernon,86,78,86
San Dimas,98,33,93
Inglewood,67,45,61
Charter Oak,97,18,88
Paramount,48,45,70
San Pedro,16,18,27
Lincoln Heights,74,87,97
Boyle Heights,84,87,94
Historic South-Central,83,87,75
Avalon,1,1,4
Westlake,70,87,91
Mission Hills,12,18,18
Quartz Hill,2,1,2
Marina del Rey,52,45,32
Bell,83,45,68
Long Beach,26,22,39
San Gabriel,79,18,37
Downey,67,45,77
Diamond Bar,98,49,91
La Canada Flintridge,29,17,12
West Covina,96,19,75
Redondo Beach,39,45,54
Vermont Square,79,86,59
Santa Fe Springs,74,45,71
Calabasas,14,7,8
Altadena,35,7,17
Bell Gardens,81,45,72
Sun Valley,22,44,18
Playa Vista,59,45,30
Carson,35,33,69
Hollywood Hills,43,63,40
Lancaster,2,1,2
Leona Valley,3,4,2
Whittier,86,44,55
Walnut,98,36,87
Castaic Canyons,5,5,6
Silver Lake,59,87,80
Whittier Narrows,91,45,60
Glendale,37,41,34
West Whittier-Los Nietos,88,45,76
Atwater Village,47,84,59
East Whittier,66,18,51
El Sereno,74,61,64
Montecito Heights,66,69,57
Florence,79,52,82
Huntington Park,83,52,76
Cheviot Hills,53,45,36
Cypress Park,64,87,94
Desert View Highlands,3,1,3
Baldwin Park,93,19,53
Montebello,90,45,79
Leimert Park,74,84,56
Santa Clarita,6,7,6
Elysian Park,71,87,99
Wilmington,25,18,36
Jefferson Park,72,87,62
Downtown,79,87,95
Encino,23,12,78
West Adams,66,56,54
Hawaiian Gardens,29,18,30
Agoura Hills,9,5,5
Baldwin Hills/Crenshaw,69,54,50
Lake View Terrace,12,18,11
Adams-Normandie,75,87,72
El Monte,91,28,63
Rancho Dominguez,38,38,94
Acton,4,4,5
Studio City,34,45,19
La Puente,95,31,80
North Hollywood,29,45,20
Rosemead,88,33,53
San Marino,61,16,12
East San Gabriel,69,17,31
South Park,83,87,69
Burbank,31,48,31
Woodland Hills,15,8,27
Angeles Crest,23,8,18
East Compton,48,45,82
Chatsworth,8,8,11
Mayflower Village,82,18,55
Koreatown,65,87,78
South Gate,72,45,71
Elysian Valley,61,87,84
Claremont,99,61,99
Avocado Heights,93,45,74
South San Gabriel,90,45,62
Northwest Antelope Valley,3,1,2
Echo Park,66,87,92
Lynwood,61,45,72
Unincorporated Santa Susana Mountains,6,7,6
Shadow Hills,20,40,13
La Habra Heights,91,41,46
Covina,97,20,72
Northwest Palmdale,3,1,2
Sawtelle,45,45,33
Rancho Park,51,45,39
East Los Angeles,87,69,87
Beverlywood,55,45,33
Bellflower,43,44,50
Azusa,92,18,26
Del Rey,57,45,31
Mid-Wilshire,60,62,52
North Whittier,92,45,55
Beverly Crest,36,40,14
