name,2014,2017,2021
Irwindale,13,11,12
Pico-Union,13,13,12
Glendora,13,11,12
Industry,13,12,12
Sylmar,10,11,11
Torrance,12,12,12
Alhambra,13,12,12
Pico Rivera,13,12,12
Rolling Hills Estates,11,12,12
Signal Hill,11,11,12
Hawthorne,12,12,12
North Hills,11,11,12
Hacienda Heights,13,12,12
Harbor Gateway,12,12,12
Lopez/Kagel Canyons,11,11,11
Citrus,13,11,12
Lake Balboa,11,10,13
Granada Hills,10,11,11
Palms,12,12,12
Santa Monica,12,12,12
Pacoima,11,11,11
Toluca Lake,12,12,12
Veterans Administration,12,12,12
Valley Village,12,12,12
Brentwood,12,12,12
Pomona,14,13,13
South Whittier,13,12,12
Pasadena,12,11,11
Winnetka,11,10,12
Palmdale,7,6,8
Porter Ranch,10,10,11
South El Monte,13,12,12
Tujunga Canyons,9,9,10
Commerce,13,12,12
San Fernando,10,11,11
Sherman Oaks,12,11,12
Bradbury,13,11,12
Panorama City,11,11,12
Northridge,11,10,12
Culver City,12,12,12
Lakewood,12,11,12
Compton,12,12,12
Vernon,13,12,12
San Dimas,13,11,12
Inglewood,13,12,12
Charter Oak,13,11,12
Paramount,12,12,12
San Pedro,11,11,12
Lincoln Heights,13,13,13
Boyle Heights,13,13,12
Historic South-Central,13,13,12
Avalon,0,0,8
Westlake,13,13,12
Mission Hills,11,11,11
Quartz Hill,7,6,7
Marina del Rey,12,12,12
Bell,13,12,12
Long Beach,12,11,12
San Gabriel,13,11,12
Downey,13,12,12
Diamond Bar,13,12,12
La Canada Flintridge,12,11,11
West Covina,13,11,12
Redondo Beach,12,12,12
Vermont Square,13,13,12
Santa Fe Springs,13,12,12
Calabasas,11,10,10
Altadena,12,10,11
Bell Gardens,13,12,12
Sun Valley,11,12,11
Playa Vista,12,12,12
Carson,12,12,12
Hollywood Hills,12,12,12
Lancaster,7,6,7
Leona Valley,7,7,7
Whittier,13,12,12
Walnut,13,12,12
Castaic Canyons,9,9,10
Silver Lake,12,13,12
Whittier Narrows,13,12,12
Glendale,12,12,12
West Whittier-Los Nietos,13,12,12
Atwater Village,12,12,12
East Whittier,13,11,12
El Sereno,13,12,12
Montecito Heights,13,12,12
Florence,13,12,12
Huntington Park,13,12,12
Cheviot Hills,12,12,12
Cypress Park,13,13,12
Desert View Highlands,7,6,8
Baldwin Park,13,11,12
Montebello,13,12,12
Leimert Park,13,12,12
Santa Clarita,9,10,10
Elysian Park,13,13,13
Wilmington,11,11,12
Jefferson Park,13,13,12
Downtown,13,13,12
Encino,11,11,12
West Adams,13,12,12
Hawaiian Gardens,12,11,12
Agoura Hills,10,10,10
Baldwin Hills/Crenshaw,13,12,12
Lake View Terrace,11,11,11
Adams-Normandie,13,13,12
El Monte,13,11,12
Rancho Dominguez,12,12,12
Acton,8,7,9
Studio City,12,12,12
La Puente,13,12,12
