Zip_Code,Total_Population,Median Age,Total Males,Total Females,Total Households,Average Household Size,Year
91371,1,73.5,0,1,1,1,2010
90001,57110,26.6,28468,28642,12971,4.4,2010
90002,51223,25.5,24876,26347,11731,4.36,2010
90003,66266,26.3,32631,33635,15642,4.22,2010
90004,62180,34.8,31302,30878,22547,2.73,2010
90005,37681,33.9,19299,18382,15044,2.5,2010
90006,59185,32.4,30254,28931,18617,3.13,2010
90007,40920,24,20915,20005,11944,3,2010
90008,32327,39.7,14477,17850,13841,2.33,2010
90010,3800,37.8,1874,1926,2014,1.87,2010
90011,103892,26.2,52794,51098,22168,4.67,2010
90012,31103,36.3,19493,11610,10327,2.12,2010
90013,11772,44.6,7629,4143,6416,1.26,2010
90014,7005,44.8,4471,2534,4109,1.34,2010
90015,18986,31.3,9833,9153,7420,2.45,2010
90016,47596,33.9,22778,24818,16145,2.93,2010
90017,23768,29.4,12818,10950,9338,2.53,2010
90018,49310,33.2,23770,25540,15493,3.12,2010
90019,64458,35.8,31442,33016,23344,2.7,2010
90020,38967,34.6,19381,19586,16514,2.35,2010
90021,3951,44.3,2790,1161,1561,1.57,2010
90022,67179,29.8,33216,33963,17023,3.94,2010
90023,45903,28.4,23037,22866,10727,4.26,2010
90024,47452,23.6,22248,25204,17903,2.03,2010
90025,42147,34.7,20859,21288,21228,1.97,2010
90026,67869,34,34515,33354,24956,2.68,2010
90027,45151,38.3,22362,22789,21929,1.99,2010
90028,28714,34,16056,12658,14964,1.78,2010
90029,38617,34.6,19575,19042,13883,2.7,2010
90031,39316,33.5,19546,19770,11156,3.49,2010
90032,45786,32.4,22564,23222,12765,3.52,2010
90033,48852,29.2,24425,24427,12924,3.66,2010
90034,57964,32.8,28828,29136,25592,2.23,2010
90035,28418,37.5,13326,15092,12814,2.19,2010
90036,36865,33.9,17914,18951,18646,1.96,2010
90037,62276,28.8,31187,31089,15869,3.85,2010
90038,28917,33.1,15383,13534,11928,2.41,2010
90039,28514,38.8,14383,14131,11436,2.47,2010
90040,12520,31.2,6129,6391,3317,3.75,2010
90041,27425,39,13212,14213,9513,2.71,2010
90042,62430,33.6,30836,31594,19892,3.11,2010
90043,44789,38.7,20561,24228,16075,2.76,2010
90044,89779,28.6,43128,46651,25144,3.55,2010
90045,39480,35.6,18958,20522,15224,2.37,2010
90046,48581,38.5,25854,22727,28534,1.69,2010
90047,48606,36.2,22129,26477,16168,2.99,2010
90048,21397,39.2,10132,11265,11821,1.77,2010
90049,35482,41.3,16359,19123,16657,2.09,2010
90056,7827,48.4,3436,4391,3371,2.32,2010
90057,44998,31.2,24300,20698,15658,2.81,2010
90058,3223,26,1555,1668,892,3.6,2010
90059,40952,25.7,19623,21329,9596,4.19,2010
90061,26872,28.4,13049,13823,6892,3.85,2010
90062,32821,31.8,15720,17101,9155,3.55,2010
90063,55758,29,27843,27915,13260,4.19,2010
90064,25403,40,12297,13106,10968,2.29,2010
90065,45527,36.1,22873,22654,14476,3.12,2010
90066,55277,37.3,27714,27563,23985,2.29,2010
90067,2424,65.3,1074,1350,1510,1.61,2010
90068,22286,39.4,12018,10268,12326,1.8,2010
90069,20483,41.5,12153,8330,13364,1.53,2010
90071,15,45.5,13,2,0,0,2010
90073,539,56.9,506,33,4,1.25,2010
90077,9377,47.9,4594,4783,3615,2.57,2010
90079,0,0,0,0,0,0,2010
90089,3217,19.3,1436,1781,31,1.94,2010
90090,0,0,0,0,0,0,2010
90094,5464,33.7,2559,2905,2949,1.85,2010
90095,3,52.5,2,1,2,1.5,2010
90201,101279,27.8,50658,50621,24104,4.16,2010
90210,21741,47.5,10292,11449,8669,2.49,2010
90211,8434,40.6,3849,4585,3706,2.28,2010
90212,11555,41.2,5211,6344,5567,2.08,2010
90220,49328,29.8,23773,25555,12741,3.85,2010
90221,53704,26.7,26346,27358,11630,4.57,2010
90222,31869,27.3,15375,16494,7520,4.21,2010
90230,31766,39.1,14932,16834,12883,2.45,2010
90232,15149,38.6,7333,7816,6605,2.28,2010
